,Unnamed: 0,class,cap-shapenum,cap-surfacenum,cap-colornum,bruisesnum,odornum,gill-attachmentnum,gill-spacingnum,gill-sizenum,gill-colornum,stalk-shapenum,stalk-rootnum,stalk-surface-above-ringnum,stalk-surface-below-ringnum,stalk-color-above-ringnum,stalk-color-below-ringnum,veil-typenum,veil-colornum,ring-numbernum,ring-typenum,spore-print-colornum,populationnum,habitatnum,poison,edible
5648,5648,p,2,3,3,0,2,1,0,0,3,0,1,1,1,6,6,0,2,1,2,1,5,0,1,0
3725,3725,p,5,2,8,0,1,1,1,1,2,0,1,2,2,7,7,0,2,1,4,3,4,0,1,0
7936,7936,p,3,2,4,0,2,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,2,1,0
516,516,e,5,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4,0,1
3911,3911,p,5,3,3,0,2,1,0,0,2,0,1,1,1,0,4,0,2,1,2,1,5,1,1,0
3089,3089,p,5,0,3,0,2,1,0,0,3,0,1,1,1,0,4,0,2,1,2,1,5,1,1,0
5402,5402,p,5,3,2,0,8,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,0,1,0
901,901,e,5,0,8,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,3,0,1,0,1
4502,4502,p,2,3,3,0,2,1,0,0,2,0,1,1,1,6,0,0,2,1,2,1,5,0,1,0
6862,6862,p,2,3,4,0,8,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,0,1,0
7413,7413,e,0,2,4,0,5,0,0,0,11,0,0,2,2,5,5,0,0,1,4,3,4,2,0,1
2113,2113,e,5,0,2,1,5,1,0,0,5,1,1,2,2,6,3,0,2,1,4,3,4,0,0,1
1259,1259,p,2,2,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,4,1,1,0
3805,3805,e,2,0,2,1,5,1,0,0,9,1,1,2,2,6,6,0,2,1,4,2,5,0,0,1
6512,6512,p,2,3,4,0,8,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,2,1,0
3972,3972,e,2,3,4,1,5,1,0,0,9,1,1,2,2,6,6,0,2,1,4,3,4,0,0,1
7628,7628,p,3,2,4,0,7,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,4,1,0
4878,4878,p,2,0,9,0,2,1,0,0,7,0,1,1,1,0,0,0,2,1,2,1,5,4,1,0
7129,7129,p,2,3,4,0,8,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,0,1,0
2068,2068,e,2,2,3,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
650,650,e,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
3039,3039,e,2,3,2,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,2,4,0,0,1
5641,5641,p,2,3,9,0,5,1,0,1,10,0,0,1,3,7,4,0,2,1,0,7,4,0,1,0
2855,2855,e,5,3,3,1,5,1,0,0,10,1,1,2,2,3,3,0,2,1,4,3,4,0,0,1
6782,6782,p,5,3,2,0,8,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,4,1,0
1126,1126,e,2,2,8,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1,0,1
5966,5966,p,5,3,4,0,7,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,4,1,0
331,331,e,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
273,273,e,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
3065,3065,e,2,3,3,1,5,1,0,0,9,1,1,2,2,6,3,0,2,1,4,3,4,0,0,1
4961,4961,p,2,0,9,0,2,1,0,0,7,0,1,1,1,0,0,0,2,1,2,1,5,1,1,0
794,794,p,5,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1,1,0
5275,5275,p,2,2,8,1,2,1,0,0,3,1,1,0,2,7,7,0,2,1,4,1,4,1,1,0
5649,5649,e,2,3,5,1,5,1,0,0,10,0,0,2,2,2,7,0,2,2,0,7,1,6,0,1
3931,3931,p,2,0,9,0,2,1,0,0,2,0,1,1,1,6,6,0,2,1,2,1,4,1,1,0
324,324,e,5,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,4,0,1
4150,4150,e,2,3,2,1,5,1,0,0,10,1,1,2,2,7,7,0,2,1,4,3,5,0,0,1
2622,2622,e,5,0,4,1,5,1,0,0,5,1,1,2,2,7,3,0,2,1,4,3,5,0,0,1
7315,7315,e,5,2,8,0,5,1,1,0,2,0,0,2,1,7,7,0,2,2,4,7,2,1,0,1
4771,4771,p,5,3,3,0,2,1,0,0,2,0,1,1,1,6,4,0,2,1,2,1,5,0,1,0
1512,1512,e,2,2,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,0,1,0,1
5231,5231,e,3,0,1,0,5,1,1,1,10,0,1,0,0,7,4,0,2,1,0,7,4,2,0,1
5838,5838,p,2,2,3,1,2,1,0,0,7,1,1,0,2,7,7,0,2,1,4,1,3,5,1,0
3102,3102,p,5,0,3,0,2,1,0,0,7,0,1,1,1,0,6,0,2,1,2,1,5,1,1,0
5698,5698,e,2,2,4,1,5,1,0,0,10,0,0,2,2,2,2,0,2,2,0,7,1,6,0,1
6195,6195,p,5,3,2,0,7,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,4,1,0
2109,2109,e,2,0,3,1,5,1,0,0,7,1,1,2,2,7,7,0,2,1,4,2,4,0,0,1
6171,6171,p,3,2,4,0,2,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,4,1,0
6411,6411,p,5,2,4,0,2,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,0,1,0
7194,7194,p,3,2,2,0,2,1,0,1,0,1,0,1,1,7,7,0,2,1,0,7,4,0,1,0
182,182,e,2,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5,0,1
4142,4142,e,2,3,2,1,5,1,0,0,10,1,1,2,2,6,3,0,2,1,4,2,4,0,0,1
779,779,e,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
5524,5524,p,2,3,9,0,2,1,0,0,7,0,1,1,1,4,6,0,2,1,2,1,5,4,1,0
7583,7583,p,3,3,2,0,7,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,0,1,0
3818,3818,e,2,3,3,1,5,1,0,0,5,1,1,2,2,7,7,0,2,1,4,2,4,0,0,1
6888,6888,p,5,3,2,0,7,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,4,1,0
536,536,e,0,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
7566,7566,e,5,0,3,0,5,1,1,0,10,0,0,2,2,7,7,0,2,2,4,7,3,1,0,1
4212,4212,p,2,0,9,0,2,1,0,0,7,0,1,1,1,4,4,0,2,1,2,1,4,1,1,0
2041,2041,e,2,0,4,1,5,1,0,0,5,1,1,2,2,6,7,0,2,1,4,2,5,0,0,1
968,968,e,5,2,4,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1,0,1
2147,2147,p,2,2,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5,1,0
2714,2714,e,5,3,2,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,3,4,0,0,1
4638,4638,p,5,0,9,0,2,1,0,0,3,0,1,1,1,0,6,0,2,1,2,1,4,4,1,0
5211,5211,p,5,3,3,0,2,1,0,0,2,0,1,1,1,6,6,0,2,1,2,1,4,4,1,0
7193,7193,p,5,3,2,0,7,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,4,1,0
4510,4510,p,2,0,9,0,2,1,0,0,7,0,1,1,1,0,4,0,2,1,2,1,4,4,1,0
7253,7253,e,5,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,1,1,4,4,4,2,0,1
810,810,e,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
5982,5982,p,2,2,5,1,5,1,0,0,8,0,1,2,2,7,7,0,2,2,4,5,4,1,1,0
2023,2023,e,5,0,4,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,2,3,1,0,1
7780,7780,p,3,2,2,0,8,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,0,1,0
1053,1053,e,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,4,0,1
5609,5609,p,2,2,3,1,2,1,0,0,7,1,1,0,2,7,7,0,2,1,4,1,4,1,1,0
5919,5919,p,2,2,0,1,2,1,0,0,10,1,1,2,2,7,7,0,2,1,4,1,4,5,1,0
3492,3492,p,5,0,3,0,2,1,0,0,3,0,1,1,1,4,6,0,2,1,2,1,4,1,1,0
3198,3198,e,2,0,3,1,5,1,0,0,10,1,1,2,2,7,6,0,2,1,4,3,4,0,0,1
6818,6818,p,3,2,2,0,2,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,2,1,0
295,295,e,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
3241,3241,e,2,3,3,1,5,1,0,0,5,1,1,2,2,6,6,0,2,1,4,2,4,0,0,1
1041,1041,e,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,3,4,0,1
6786,6786,p,5,2,4,0,2,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,0,1,0
6361,6361,p,5,3,2,0,8,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,0,1,0
6715,6715,p,5,2,2,0,8,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,4,1,0
4794,4794,p,2,3,3,0,2,1,0,0,3,0,1,1,1,6,6,0,2,1,2,1,4,1,1,0
2704,2704,e,2,0,4,1,5,1,0,0,9,1,1,2,2,3,6,0,2,1,4,2,4,0,0,1
7285,7285,p,5,3,2,0,4,0,0,0,11,0,2,1,3,1,1,0,2,0,3,7,1,0,1,0
7027,7027,p,3,3,2,0,7,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,2,1,0
7898,7898,e,2,3,3,1,5,1,0,0,10,0,1,2,2,7,7,0,2,2,4,7,4,4,0,1
1457,1457,e,5,0,4,1,5,1,0,0,5,1,1,2,2,6,6,0,2,1,4,3,5,0,0,1
5769,5769,e,3,3,0,1,5,1,0,0,10,0,0,2,2,7,7,0,2,2,0,7,1,6,0,1
827,827,e,2,0,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0,0,1
2845,2845,e,5,3,3,1,5,1,0,0,7,1,1,2,2,6,3,0,2,1,4,2,5,0,0,1
5286,5286,p,2,2,3,1,2,1,0,0,3,1,1,2,2,7,7,0,2,1,4,1,4,1,1,0
888,888,e,5,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4,0,1
6466,6466,p,3,3,4,0,8,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,4,1,0
1522,1522,e,5,2,8,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
1601,1601,e,2,2,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,0,1,0,1
720,720,e,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1,0,1
6617,6617,p,5,3,2,0,7,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,2,1,0
3997,3997,p,5,3,3,0,2,1,0,0,3,0,1,1,1,6,0,0,2,1,2,1,4,1,1,0
2184,2184,e,2,0,4,1,5,1,0,0,7,1,1,2,2,3,3,0,2,1,4,2,4,0,0,1
1168,1168,e,2,2,4,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,2,3,1,0,1
4889,4889,p,5,2,8,1,2,1,0,0,3,1,1,2,2,7,7,0,2,1,4,1,3,1,1,0
6837,6837,p,2,2,2,0,2,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,4,1,0
4991,4991,p,5,0,9,0,2,1,0,0,7,0,1,1,1,4,6,0,2,1,2,1,5,0,1,0
2513,2513,e,2,0,4,1,5,1,0,0,9,1,1,2,2,6,6,0,2,1,4,2,5,0,0,1
5039,5039,p,5,3,3,0,2,1,0,0,3,0,1,1,1,0,6,0,2,1,2,1,5,4,1,0
6110,6110,p,2,3,2,0,8,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,4,1,0
2933,2933,e,5,0,2,1,5,1,0,0,7,1,1,2,2,6,7,0,2,1,4,2,4,0,0,1
2683,2683,p,5,0,5,0,1,1,0,1,7,0,1,2,2,7,7,0,2,1,4,3,4,0,1,0
4217,4217,p,5,0,9,0,2,1,0,0,3,0,1,1,1,4,4,0,2,1,2,1,5,1,1,0
5766,5766,p,2,2,8,1,2,1,0,0,7,1,1,0,2,7,7,0,2,1,4,1,3,5,1,0
7676,7676,p,3,2,4,0,2,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,0,1,0
491,491,p,2,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,3,1,1,0
7232,7232,p,2,3,4,0,8,1,0,1,0,1,0,2,1,7,7,0,2,1,0,7,4,4,1,0
3186,3186,e,2,3,3,1,5,1,0,0,9,1,1,2,2,3,7,0,2,1,4,2,4,0,0,1
4159,4159,e,2,3,4,1,5,1,0,0,9,1,1,2,2,3,6,0,2,1,4,2,5,0,0,1
548,548,e,5,0,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0,0,1
2304,2304,e,5,3,3,1,5,1,0,0,10,1,1,2,2,6,3,0,2,1,4,2,4,0,0,1
5059,5059,p,2,3,9,0,2,1,0,0,3,0,1,1,1,0,6,0,2,1,2,1,4,4,1,0
4463,4463,p,5,3,3,0,2,1,0,0,2,0,1,1,1,4,4,0,2,1,2,1,5,4,1,0
33,33,e,5,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,4,0,1
531,531,e,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
8088,8088,e,3,2,4,0,5,0,0,0,5,0,0,2,2,5,5,0,1,1,4,3,4,2,0,1
6385,6385,p,2,3,2,0,2,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,2,1,0
6670,6670,p,2,2,4,0,7,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,4,1,0
5480,5480,p,5,2,8,1,2,1,0,0,10,1,1,0,2,7,7,0,2,1,4,1,4,1,1,0
1,1,e,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
4041,4041,e,2,3,4,1,5,1,0,0,9,1,1,2,2,7,6,0,2,1,4,3,5,0,0,1
194,194,e,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
4082,4082,p,2,0,9,0,2,1,0,0,2,0,1,1,1,6,0,0,2,1,2,1,4,4,1,0
986,986,e,2,0,8,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,2,0,1,0,1
7094,7094,p,3,3,4,0,2,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,4,1,0
2072,2072,e,5,0,3,1,5,1,0,0,10,1,1,2,2,6,6,0,2,1,4,3,5,0,0,1
5007,5007,p,2,3,9,0,2,1,0,0,2,0,1,1,1,0,6,0,2,1,2,1,5,1,1,0
892,892,e,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
4956,4956,p,2,3,9,0,2,1,0,0,2,0,1,1,1,4,0,0,2,1,2,1,5,1,1,0
450,450,e,5,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
2189,2189,e,5,0,3,1,5,1,0,0,9,1,1,2,2,3,7,0,2,1,4,3,4,0,0,1
4090,4090,p,5,0,3,0,2,1,0,0,7,0,1,1,1,0,4,0,2,1,2,1,4,0,1,0
4861,4861,p,5,3,9,0,2,1,0,0,2,0,1,1,1,0,0,0,2,1,2,1,4,0,1,0
4389,4389,p,5,3,3,0,2,1,0,0,3,0,1,1,1,6,6,0,2,1,2,1,4,1,1,0
1511,1511,e,2,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,3,1,0,1
4369,4369,p,2,3,9,0,2,1,0,0,7,0,1,1,1,0,6,0,2,1,2,1,4,4,1,0
3072,3072,e,2,3,3,1,5,1,0,0,5,1,1,2,2,6,6,0,2,1,4,2,5,0,0,1
1438,1438,e,2,0,8,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,0,1,0,1
6388,6388,p,2,2,4,0,8,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1,0
4601,4601,p,2,0,9,0,2,1,0,0,2,0,1,1,1,6,4,0,2,1,2,1,4,1,1,0
2613,2613,e,5,0,3,1,5,1,0,0,5,1,1,2,2,3,3,0,2,1,4,3,5,0,0,1
945,945,e,2,0,4,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,3,0,1,0,1
4896,4896,p,2,3,3,0,2,1,0,0,7,0,1,1,1,0,6,0,2,1,2,1,5,1,1,0
2671,2671,e,2,0,4,1,5,1,0,0,5,1,1,2,2,6,7,0,2,1,4,3,5,0,0,1
1795,1795,p,2,3,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1,1,0
1946,1946,e,2,0,4,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,3,3,1,0,1
2219,2219,e,5,3,4,1,5,1,0,0,10,1,1,2,2,6,7,0,2,1,4,2,4,0,0,1
6763,6763,e,0,2,4,0,5,0,0,0,11,0,0,2,2,5,5,0,0,1,4,4,1,2,0,1
3665,3665,e,2,0,2,1,5,1,0,0,7,1,1,2,2,6,6,0,2,1,4,3,4,0,0,1
510,510,e,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
5519,5519,p,5,3,4,0,7,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,2,1,0
2964,2964,e,5,3,4,1,5,1,0,0,9,1,1,2,2,6,7,0,2,1,4,2,5,0,0,1
636,636,e,2,3,9,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,1,0,1
4146,4146,p,5,3,3,0,2,1,0,0,2,0,1,1,1,6,0,0,2,1,2,1,4,4,1,0
4629,4629,p,2,2,0,1,2,1,0,0,10,1,1,0,0,7,7,0,2,1,4,1,4,1,1,0
3010,3010,e,2,0,3,1,5,1,0,0,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
268,268,e,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
1472,1472,p,2,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,5,1,0
1571,1571,e,5,0,8,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,2,0,1,0,1
13,13,p,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,1,0
1145,1145,e,5,0,8,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,3,3,1,0,1
6027,6027,p,2,2,4,0,8,1,0,1,0,1,0,1,1,7,7,0,2,1,0,7,4,2,1,0
1201,1201,e,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
2413,2413,e,5,3,3,1,5,1,0,0,5,1,1,2,2,6,6,0,2,1,4,2,4,0,0,1
3740,3740,e,5,3,4,1,5,1,0,0,9,1,1,2,2,7,3,0,2,1,4,3,5,0,0,1
2128,2128,p,5,0,3,0,2,1,0,0,7,0,1,1,1,0,0,0,2,1,2,1,5,1,1,0
732,732,p,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,3,1,1,0
1756,1756,e,2,0,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,3,1,0,1
737,737,p,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,5,1,0
3475,3475,e,2,3,3,1,5,1,0,0,5,1,1,2,2,6,7,0,2,1,4,2,5,0,0,1
5145,5145,p,5,3,4,0,2,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1,0
3664,3664,e,2,3,3,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,2,4,0,0,1
7804,7804,p,3,2,2,0,8,1,0,1,0,1,0,2,2,7,7,0,2,1,0,7,4,2,1,0
1147,1147,e,5,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
3792,3792,p,5,0,3,0,1,1,1,1,9,0,1,2,2,7,7,0,2,1,4,2,3,0,1,0
3837,3837,e,2,3,3,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,3,4,0,0,1
1775,1775,e,5,0,8,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1,0,1
427,427,e,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
7576,7576,e,3,0,3,0,5,1,1,0,10,0,0,1,2,7,7,0,2,2,4,7,2,1,0,1
3044,3044,e,2,3,3,1,5,1,0,0,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
4328,4328,p,5,0,9,0,2,1,0,0,2,0,1,1,1,0,6,0,2,1,2,1,5,0,1,0
8022,8022,p,2,3,2,0,8,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,4,1,0
3066,3066,e,2,3,4,1,5,1,0,0,9,1,1,2,2,6,7,0,2,1,4,2,5,0,0,1
6084,6084,p,3,3,4,0,8,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,2,1,0
1378,1378,p,2,3,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1,1,0
1868,1868,e,5,2,4,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,0,1,0,1
6794,6794,p,2,3,2,0,8,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,2,1,0
3775,3775,p,5,0,3,0,2,1,0,0,3,0,1,1,1,4,4,0,2,1,2,1,5,4,1,0
336,336,e,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1,0,1
2721,2721,e,5,3,2,1,5,1,0,0,5,1,1,2,2,3,6,0,2,1,4,3,5,0,0,1
8120,8120,e,5,2,4,0,5,0,0,0,11,0,0,2,2,5,5,0,0,1,4,0,4,2,0,1
2487,2487,e,5,2,8,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,3,1,0,1
7201,7201,p,3,2,4,0,2,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,0,1,0
4565,4565,p,2,0,9,0,2,1,0,0,3,0,1,1,1,4,4,0,2,1,2,1,4,1,1,0
226,226,e,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
3806,3806,p,5,2,5,0,1,1,0,1,9,0,1,2,2,7,7,0,2,1,4,3,4,0,1,0
7907,7907,e,0,0,8,0,5,1,1,0,10,0,0,2,2,7,7,0,2,2,4,7,3,1,0,1
4562,4562,p,5,3,9,0,2,1,0,0,3,0,1,1,1,4,6,0,2,1,2,1,5,4,1,0
6294,6294,p,5,3,2,0,8,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,4,1,0
2511,2511,e,5,3,2,1,5,1,0,0,10,1,1,2,2,6,6,0,2,1,4,3,4,0,0,1
7828,7828,e,0,2,4,0,5,0,0,0,11,0,0,2,2,5,5,0,0,1,4,8,4,2,0,1
1858,1858,p,2,2,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,1,1,0
5692,5692,e,3,3,5,1,5,1,0,0,10,0,0,2,2,7,7,0,2,2,0,7,1,6,0,1
5589,5589,p,5,3,4,0,8,1,0,1,0,1,0,1,1,7,7,0,2,1,0,7,4,2,1,0
1119,1119,e,5,2,3,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,3,1,0,1
185,185,p,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1,1,0
4237,4237,p,2,0,9,0,2,1,0,0,3,0,1,1,1,0,4,0,2,1,2,1,4,0,1,0
3366,3366,p,5,2,3,0,1,1,0,1,9,0,1,2,2,7,7,0,2,1,4,2,3,0,1,0
1246,1246,e,2,2,3,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
4906,4906,p,5,3,9,0,2,1,0,0,2,0,1,1,1,4,0,0,2,1,2,1,4,1,1,0
7768,7768,p,3,3,2,0,7,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,4,1,0
4892,4892,p,5,0,9,0,2,1,0,0,7,0,1,1,1,4,6,0,2,1,2,1,4,1,1,0
7077,7077,p,2,3,2,0,8,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1,0
4621,4621,p,2,0,9,0,2,1,0,0,2,0,1,1,1,6,6,0,2,1,2,1,5,0,1,0
7903,7903,p,5,2,2,0,2,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,4,1,0
7684,7684,p,3,3,2,0,7,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,0,1,0
