,class,cap-shapenum,cap-surfacenum,cap-colornum,bruisesnum,odornum,gill-attachmentnum,gill-spacingnum,gill-sizenum,gill-colornum,stalk-shapenum,stalk-rootnum,stalk-surface-above-ringnum,stalk-surface-below-ringnum,stalk-color-above-ringnum,stalk-color-below-ringnum,veil-typenum,veil-colornum,ring-numbernum,ring-typenum,spore-print-colornum,populationnum,habitatnum,poison,edible
18,p,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,3,5,1,0
19,p,5,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,3,5,1,0
20,e,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
21,p,5,3,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,1,1,0
22,e,0,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
23,e,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
24,e,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
25,p,2,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,1,1,0
26,e,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
27,e,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
28,e,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,5,5,0,1
29,e,5,2,9,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
30,e,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
31,p,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,3,5,1,0
32,e,5,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
33,e,5,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,4,0,1
34,e,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
35,e,5,0,9,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
36,e,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5,0,1
37,p,5,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,5,1,0
38,e,5,0,9,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
39,e,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
40,e,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
41,e,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4,0,1
42,e,5,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5,0,1
43,p,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1,1,0
44,e,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
45,e,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
46,e,5,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
47,e,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
48,e,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,4,0,1
49,e,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,4,0,1
50,e,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1,0,1
51,e,5,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
52,e,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
53,p,5,3,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,1,0
54,p,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5,1,0
55,e,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
56,e,2,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
57,e,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
58,e,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
59,e,5,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,5,4,0,1
60,e,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,0,1
61,e,0,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
62,e,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
63,e,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
64,e,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
65,e,2,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,0,1,0,1
66,e,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
67,e,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1,0,1
68,e,5,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
69,e,5,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5,0,1
70,e,2,0,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
71,e,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
72,e,2,0,9,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
73,e,5,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4,0,1
74,e,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
75,e,2,2,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
76,e,5,2,8,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0,0,1
77,e,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,4,0,1
78,p,5,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5,1,0
79,e,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1,0,1
80,e,5,2,4,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,3,3,1,0,1
81,p,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,1,1,0
82,e,2,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
83,e,5,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,3,1,0,1
84,e,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1,0,1
85,e,5,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,3,1,0,1
86,e,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
87,e,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
88,e,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1,0,1
89,e,4,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5,0,1
90,e,5,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
91,e,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
92,e,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
93,e,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
94,e,5,2,4,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
95,e,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
96,e,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1,0,1
97,e,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
98,e,0,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
99,e,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
100,e,5,0,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1,0,1
101,e,0,2,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
102,e,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1,0,1
103,e,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4,0,1
104,e,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
105,e,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
106,e,5,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1,0,1
107,e,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
108,e,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
109,e,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
110,e,5,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
111,e,4,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5,0,1
112,e,5,0,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0,0,1
113,e,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
114,p,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5,1,0
115,e,5,3,9,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1,0,1
116,e,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
117,e,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1,0,1
118,e,5,2,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0,0,1
119,e,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
120,p,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1,1,0
121,e,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
122,p,2,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1,1,0
123,e,2,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
124,e,5,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
125,e,5,2,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,3,1,0,1
126,e,0,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
127,e,2,0,3,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
128,e,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
129,e,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
130,e,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
131,e,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
132,e,2,2,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0,0,1
133,e,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
134,e,2,2,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
135,p,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5,1,0
136,e,2,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
137,e,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
138,p,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1,1,0
139,e,0,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
140,e,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4,0,1
141,e,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
142,e,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,0,1
143,e,2,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4,0,1
144,e,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
145,e,5,0,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1,0,1
146,e,2,0,8,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,3,0,1,0,1
147,e,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
148,e,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
149,e,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
150,e,5,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
151,e,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,0,1,0,1
152,e,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
153,e,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5,0,1
154,e,5,2,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0,0,1
155,e,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1,0,1
156,e,0,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
157,e,5,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
158,e,0,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
159,e,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
160,e,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
161,e,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
162,e,5,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
163,e,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1,0,1
164,e,5,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
165,e,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4,0,1
166,e,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
167,e,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
168,e,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1,0,1
169,e,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
170,e,5,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
171,e,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
172,e,5,0,9,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0,0,1
173,e,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
174,e,2,3,9,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1,0,1
175,e,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
176,e,0,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
177,e,0,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
178,e,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
179,e,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
180,p,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5,1,0
181,e,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
182,e,2,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5,0,1
183,e,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
184,e,2,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4,0,1
185,p,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1,1,0
186,e,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
187,e,2,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5,0,1
188,e,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
189,e,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4,0,1
190,e,5,0,8,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,3,1,0,1
191,e,5,2,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
192,e,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
193,e,2,2,9,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
194,e,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
195,e,2,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
196,e,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
197,e,5,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
198,e,5,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
199,e,2,2,8,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
200,e,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
201,e,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
202,e,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
203,e,5,0,8,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,3,1,0,1
204,e,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4,0,1
205,p,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,1,0
206,e,0,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
207,e,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
208,e,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
209,e,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
210,e,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
211,e,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
212,e,5,0,9,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
213,e,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
214,e,2,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1,0,1
215,e,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
216,e,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
217,e,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
218,e,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
219,e,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5,0,1
220,e,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
221,p,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1,1,0
222,e,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1,0,1
223,e,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
224,e,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
225,e,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
226,e,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
227,e,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
228,p,5,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5,1,0
229,e,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
230,e,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,5,5,0,1
231,p,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5,1,0
232,e,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,4,0,1
233,e,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5,0,1
234,e,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
235,e,5,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
236,e,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
237,e,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
238,e,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,3,1,0,1
239,e,2,3,9,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4,0,1
240,e,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4,0,1
241,e,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
242,e,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
243,p,5,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,5,1,0
244,e,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0,0,1
245,e,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
246,e,5,2,8,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0,0,1
247,e,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
248,e,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4,0,1
249,e,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1,0,1
250,e,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1,0,1
251,p,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,3,1,1,0
252,e,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,4,5,0,1
253,e,0,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
254,e,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
255,e,0,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
256,e,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,0,1
257,e,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
258,e,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
259,e,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
260,e,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1,0,1
